sl.no.,isbn,isbn10
0,9780689830594,0689830599
1,9780375704970,0375704973
2,9780345446671,0345446674
3,9780446403016,0446403016
4,9780425198773,0425198774
5,9780698119604,0698119606
6,9780689861130,0689861133
7,9780345468642,0345468643
8,9780553276329,0553276328
9,9780061178801,0061178802
10,9782253147695,2253147699
11,9780425203934,042520393X
12,9780786915743,0786915749
13,9780330293877,0330293877
14,9780425165584,0425165582
15,,
16,9781555971939,1555971938
17,9780674615762,067461576X
18,9781591164227,1591164222
19,9780859536592,0859536599
20,9780446365321,0446365327
21,9780141014081,0141014083
22,9780449212400,0449212408
23,9780380714001,0380714000
24,9780060298784,0060298782
25,9780385313315,0385313314
26,9780385413725,0385413726
27,9780380731503,0380731509
28,9780425205815,0425205819
29,9780552154161,0552154164
30,9780445408647,0445408642
31,9780920236161,0920236162
32,9780671720148,0671720147
33,9780449911945,0449911942
34,9780345460691,0345460693
35,,
36,9780425184226,0425184226
37,9781563892271,1563892278
38,9780571209439,0571209432
39,9780451096623,0451096622
40,9780441019427,0441019420
41,9780894801402,0894801406
42,9780783816012,0783816014
43,,
44,9780425128169,0425128164
45,,
46,9780449225158,0449225151
47,9780425201374,0425201376
48,9780679772682,0679772685
49,9781860491818,1860491812
50,,
51,9780802142849,0802142842
52,9780765354952,0765354950
53,9781400031511,1400031516
54,9780380794577,0380794578
55,9788466302944,8466302948
56,9780375706417,0375706410
57,9780312977108,0312977107
58,9780812575583,081257558X
59,,
60,,
61,9780571225408,0571225403
62,9782253152859,2253152854
63,9782226131904,2226131906
64,9780375727436,0375727434
65,9780756400606,0756400600
66,9780425183755,0425183750
67,9781882968336,1882968336
68,,
69,,
70,9780743222259,0743222253
71,9780060988654,0060988657
72,9780965900584,0965900584
73,,
74,9780446617093,0446617091
75,9780060572990,006057299X
76,9780307265432,0307265439
77,9780307269980,0307269981
78,9781423100034,1423100034
79,9780618680009,0618680004
80,9780575079793,0575079797
81,9781595147882,1595147888
82,9780399154010,0399154019
83,9780393354256,0393354253
84,9780762745654,0762745657
85,9780618443369,0618443363
86,9780975925591,0975925598
87,9780312590444,031259044X
88,9780385342025,0385342020
89,9781439148501,1439148503
90,9780385342315,0385342314
91,9780446556828,0446556823
92,9780061733635,0061733636
93,9780373210183,0373210183
94,9780553173895,0553173898
95,9780307887436,030788743X
96,9780451233325,0451233328
97,9780441020423,0441020429
98,9780062011992,0062011995
99,9780553826104,0553826107
100,9781442416864,1442416866
101,9780451235848,0451235843
102,9781423140573,1423140575
103,9780373210510,0373210515
104,9780373776986,0373776985
105,,
106,9780988301320,0988301326
107,,
108,9780399256769,0399256768
109,,
110,,
111,9780061996207,0061996203
112,,
113,,
114,9780989598460,0989598462
115,9780425256220,0425256227
116,9789382665465,9382665463
117,,
118,9781442468351,1442468351
119,9780765376473,0765376474
120,9781451686630,1451686633
121,9781101902769,1101902760
122,9781841191096,1841191094
123,9780062457790,0062457799
124,9780062348708,0062348701
125,9781101886724,1101886722
126,9781484763803,1484763807
127,9781101906668,1101906669
128,,
129,9781619636101,1619636107
130,9780448494500,0448494507
131,9780062662590,0062662597
132,,
133,9780008239442,0008239444
134,9781250144546,125014454X
135,9780393013801,0393013804
136,,
137,9781728206141,1728206146
138,,
139,9781250250469,1250250463
140,,
141,9780062943477,0062943472
142,9781510109186,1510109188
143,9781984881663,1984881663
144,9781668002537,1668002531
145,9780778389446,0778389448
146,9780063045651,0063045656
147,9780593465271,059346527X
148,9780440000211,0440000211
149,9780063052734,0063052733
150,9780552133258,0552133256
151,9781250213624,1250213622
152,9781250274618,1250274613
153,9780063144040,0063144042
154,9780316592703,0316592706
155,,
156,9781728268231,1728268230
157,9781957568461,1957568461
158,9780241512449,0241512441
159,,
160,9780140157352,0140157352
161,9783922252115,3922252117
162,9780152938222,0152938222
163,9780671729455,0671729454
164,9789707100114,9707100117
165,9780395957769,0395957761
166,9780345466600,0345466608
167,9780345338549,0345338545
168,9780618126996,0618126996
169,9780811214742,0811214745
170,9780810112087,0810112086
171,9780425198773,0425198774
172,9780698119604,0698119606
173,,
174,9780380783601,0380783606
175,9780385178877,0385178875
176,9781569472545,1569472548
177,9781564782175,1564782174
178,9780393000726,0393000729
179,9780449210673,0449210677
180,9780918408198,0918408199
181,,
182,9780896081291,089608129X
183,9780913165607,0913165603
184,9780380623808,0380623803
185,9780451157973,0451157974
186,9780312194338,0312194331
187,9780708837139,0708837131
188,9780810111448,0810111446
189,9780679734451,0679734457
190,9788420633183,8420633186
191,9781597800365,1597800368
192,(ISBN10: 0440,"<ERROR> _IDX: 193 error(1): RuntimeError(""[string \""src\\cmd\\luau.rs:738:14\""]:4: attempt to perform arithmetic (mul) on nil and number\nstack traceback:\n\t[C]: in ?\n\t[string \""src\\cmd\\luau.rs:738:14\""]:4: in function 'calculate_check_digit'\n\t[string \""src\\cmd\\luau.rs:738:14\""]:18: in function 'isbn13_to_isbn10'\n\t[string \""src\\cmd\\luau.rs:738:14\""]:24: in ?"")"
193,9780805006797,0805006796
194,9780810112025,0810112027
195,9780811215480,0811215482
196,9780394749303,0394749308
197,9780064401746,006440174X
198,9780394713519,0394713516
199,9780345329455,0345329457
200,,
201,9780345418906,0345418905
202,,
203,9780751514629,0751514624
204,9780141311371,0141311371
205,9780340606513,0340606517
206,9780553383805,0553383809
207,9780345350497,0345350499
208,9780451197962,0451197968
209,9780736693417,0736693416
210,9780441012008,0441012000
211,9780553293388,0553293389
212,9780345413970,0345413970
213,9780689861130,0689861133
214,9780345468642,0345468643
215,9780553381665,0553381660
216,9780446404280,0446404284
217,9780312938994,0312938993
218,9780451200815,0451200810
219,,
220,,
221,9780345335654,0345335651
222,9780836212006,0836212002
223,9780140505399,0140505393
224,9780743222051,0743222059
225,9780061000034,0061000035
226,9780449203798,0449203794
227,9780345363138,0345363132
228,9780451208705,0451208706
229,9780140067477,0140067477
230,9780553383058,0553383051
231,9780393314250,0393314251
232,9780060533991,0060533994
233,9780345327864,0345327861
234,,
235,9780449911594,0449911594
236,9780345349347,0345349342
237,9780060298791,0060298790
238,9780140249439,0140249435
239,9780807612590,0807612596
240,9780374404147,0374404143
241,9780586217832,0586217835
242,9780836220629,0836220625
243,9780751525670,0751525677
244,9780886772390,0886772397
245,9780006472612,0006472613
246,9780374418106,0374418101
247,9780688040741,0688040748
248,9780553276329,0553276328
249,9780312973148,0312973144
250,9780345396938,0345396936
251,9780061178801,0061178802
252,9780393317732,0393317730
253,9780671474706,0671474707
254,9780452253803,0452253802
255,9780553231328,0553231324
256,9780671631932,0671631934
257,9780553564945,0553564943
258,9780440017806,0440017807
259,9780520231122,0520231120
260,9780671458065,067145806X
261,9780571125296,0571125298
262,9781590173299,1590173295
263,,
264,9780300044805,0300044801
265,9780671456108,0671456105
266,9780440210696,0440210690
267,9780140250138,0140250131
268,(ISBN10: 1612,"<ERROR> _IDX: 269 error(2): RuntimeError(""[string \""src\\cmd\\luau.rs:738:14\""]:4: attempt to perform arithmetic (mul) on nil and number\nstack traceback:\n\t[C]: in ?\n\t[string \""src\\cmd\\luau.rs:738:14\""]:4: in function 'calculate_check_digit'\n\t[string \""src\\cmd\\luau.rs:738:14\""]:18: in function 'isbn13_to_isbn10'\n\t[string \""src\\cmd\\luau.rs:738:14\""]:24: in ?"")"
269,9780395416686,039541668X
270,9780002317276,0002317273
271,9780753819661,075381966X
272,9780399127786,039912778X
273,9780345345035,0345345037
274,9780142302262,0142302260
275,9780449209691,0449209695
276,9780380733385,0380733382
277,9780671449025,0671449028
278,9780679738015,0679738010
279,9780694006519,0694006513
280,9780708853283,0708853285
281,9780451410689,0451410688
282,,
283,9780345325228,0345325222
284,9780743444729,0743444728
285,,
