sl.no.,isbn,title,series_title,series_release_number,authors,publisher,language,num_pages,format,genres,publication_date,rating_score,num_ratings,num_reviews,current_readers,want_to_read,price,url,ISBN10
0,9780689830594,Summer Story ,Brambly Hedge,2,Jill Barklem,Atheneum,English,32,Hardcover,"['Picture Books', 'Childrens', 'Fiction', 'Animals', 'Fantasy', 'Classics', 'Short Stories']","January 1, 1980",4.45,1017.0,74.0,7.0,512.0,3.49,https://www.goodreads.com/book/show/421572.Summer_Story,0689830599
1,9780375704970,The Lake of Darkness,,,Ruth Rendell,Vintage Crime/Black Lizard,English,210,Paperback,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'British Literature', 'Suspense', 'Mystery Thriller']","January 1, 1980",3.76,1388.0,114.0,77.0,623.0,4.99,https://www.goodreads.com/book/show/83394.The_Lake_of_Darkness,0375704973
2,9780345446671,Beyond the Blue Event Horizon ,Heechee Saga,2,Frederik Pohl,Ballantine Books,English,336,Paperback,"['Science Fiction', 'Fiction', 'Space Opera', 'Science Fiction Fantasy', 'Fantasy', 'Aliens', 'Adventure']","January 1, 1980",3.95,13307.0,339.0,181.0,3961.0,11.99,https://www.goodreads.com/book/show/373399.Beyond_the_Blue_Event_Horizon,0345446674
3,9780446403016,St. Peter's Fair ,Chronicles of Brother Cadfael,4,Ellis Peters,Mysterious Press,English,217,Mass Market Paperback,"['Mystery', 'Historical Fiction', 'Fiction', 'Historical', 'Crime', 'Medieval', 'Historical Mystery']","May 1, 1981",4.12,10493.0,593.0,1298.0,2502.0,0.0,https://www.goodreads.com/book/show/751755.St_Peter_s_Fair,0446403016
4,9780425198773,Twice Shy,,,Dick Francis,G.P. Putnam's Sons,English,304,Mass Market Paperback,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Suspense', 'Mystery Thriller', 'Horse Racing']","January 1, 1981",3.92,4188.0,174.0,162.0,642.0,8.99,https://www.goodreads.com/book/show/103250.Twice_Shy,0425198774
5,9780698119604,The Door in the Hedge,,,Robin McKinley,Firebird,English,216,Paperback,"['Fantasy', 'Young Adult', 'Short Stories', 'Fairy Tales', 'Fiction', 'Retellings', 'Romance']","January 1, 1981",3.7,9657.0,592.0,395.0,6643.0,1.99,https://www.goodreads.com/book/show/8091.The_Door_in_the_Hedge,0698119606
6,9780689861130,"Moo, Baa, La La La!",,,Sandra Boynton,Simon & Schuster Childrens Books,English,14,Hardcover,"['Picture Books', 'Childrens', 'Animals', 'Fiction', 'Kids', 'Storytime', 'Humor']","January 1, 1982",4.21,35681.0,767.0,125.0,7376.0,,https://www.goodreads.com/book/show/4600.Moo_Baa_La_La_La_,0689861133
7,9780345468642,Pawn of Prophecy ,The Belgariad,1,David Eddings,Del Rey,English,304,Paperback,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Young Adult', 'Science Fiction Fantasy', 'Adventure']","March 12, 1982",4.16,105412.0,3769.0,1777.0,52200.0,5.99,https://www.goodreads.com/book/show/44659.Pawn_of_Prophecy,0345468643
8,9780553276329,Pacific Vortex! ,Dirk Pitt,1,Clive Cussler,Bantam,English,288,Mass Market Paperback,"['Adventure', 'Fiction', 'Thriller', 'Action', 'Mystery', 'Suspense', 'Mystery Thriller']","January 1, 1983",3.8,23332.0,898.0,350.0,11900.0,9.59,https://www.goodreads.com/book/show/361081.Pacific_Vortex_,0553276328
9,9780061178801,The One Minute Manager,,,Kenneth H. Blanchard,William Morrow: An Imprint of HarperCollinsPublishers,English,111,Hardcover,"['Business', 'Leadership', 'Nonfiction', 'Management', 'Self Help', 'Personal Development', 'Productivity']","January 1, 1981",3.95,123639.0,2123.0,1166.0,105000.0,9.99,https://www.goodreads.com/book/show/4285707-the-one-minute-manager,0061178802
10,9782253147695,Christine,,,Stephen King,LGF,French,411,Paperback,"['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Supernatural', 'Paranormal', 'Mystery']","April 29, 1983",3.84,239840.0,5206.0,2552.0,114000.0,10.99,https://www.goodreads.com/book/show/10629.Christine,2253147699
11,9780425203934,Proof,,,Dick Francis,G.P. Putnam's Sons,English,368,Mass Market Paperback,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'British Literature']","September 24, 1984",4.08,7554.0,389.0,396.0,1407.0,8.99,https://www.goodreads.com/book/show/8531.Proof,042520393X
12,9780786915743,Dragons of Autumn Twilight  ,Dragonlance: Chronicles,1,Margaret Weis,Wizards of the Coast,English,444,Mass Market Paperback,"['Fantasy', 'Dragonlance', 'Fiction', 'Dragons', 'High Fantasy', 'Epic Fantasy', 'Science Fiction Fantasy']","November 12, 1984",4.01,116639.0,2918.0,4499.0,52800.0,7.99,https://www.goodreads.com/book/show/259836.Dragons_of_Autumn_Twilight,0786915749
13,9780330293877,The Bone People,,,Keri Hulme,Picador,English,450,Paperback,"['Fiction', 'Magical Realism', 'Literary Fiction', 'Historical Fiction', 'Contemporary', 'Fantasy', 'Literature']","January 1, 1984",4.04,22457.0,2149.0,647.0,41700.0,,https://www.goodreads.com/book/show/818926.The_Bone_People,0330293877
14,9780425165584,Books of Blood: Volumes One to Three ,Books of Blood,1-3,Clive Barker,Berkley Books,English,507,Paperback,"['Horror', 'Short Stories', 'Fiction', 'Fantasy', 'Anthologies', 'Thriller', 'Supernatural']","January 1, 1984",4.19,27930.0,944.0,1412.0,25800.0,29.99,https://www.goodreads.com/book/show/32626.Books_of_Blood,0425165582
15,,The Black Company ,The Chronicles of the Black Company,1,Glen Cook,Tor Fantasy,English,319,Mass Market Paperback,"['Fantasy', 'Fiction', 'Dark Fantasy', 'Epic Fantasy', 'High Fantasy', 'Military Fiction', 'War']","May 15, 1984",3.93,49233.0,2505.0,1885.0,56200.0,9.99,https://www.goodreads.com/book/show/140671.The_Black_Company,
16,9781555971939,Shallows,,,Tim Winton,Graywolf Press,English,240,Paperback,"['Fiction', 'Australia', 'Historical Fiction', 'Contemporary', 'Literature', 'Adult', 'Novels']","January 1, 1984",3.52,1045.0,73.0,40.0,727.0,,https://www.goodreads.com/book/show/343882.Shallows,1555971938
17,9780674615762,A New History of Korea,,,Ki-Baik Lee,Harvard University Press,English,518,Paperback,"['History', 'Nonfiction', 'Asia']","January 1, 1984",3.7,82.0,12.0,9.0,258.0,24.49,https://www.goodreads.com/book/show/55958.A_New_History_of_Korea,067461576X
18,9781591164227,"Maison Ikkoku, Volume 6 ",Maison Ikkoku,6,Rumiko Takahashi,VIZ Media LLC,English,208,Paperback,"['Manga', 'Romance', 'Comics', 'Seinen', 'Comedy', 'Fiction', 'Graphic Novels']","June 1, 1984",4.17,340.0,6.0,3.0,73.0,12.99,https://www.goodreads.com/book/show/23708.Maison_Ikkoku_Volume_6,1591164222
19,9780859536592,"The Little Mouse, the Red Ripe Strawberry, and the Big Hungry Bear",,,Don Wood,Childs Play Intl Ltd,English,32,Board Book,"['Picture Books', 'Childrens', 'Animals', 'Storytime', 'Fiction', 'Food', 'Humor']","June 1, 1984",4.31,39372.0,1062.0,146.0,9358.0,9.49,https://www.goodreads.com/book/show/682920.The_Little_Mouse_the_Red_Ripe_Strawberry_and_the_Big_Hungry_Bear,0859536599
20,9780446365321,Sweet Starfire ,Lost Colony,1,Jayne Ann Krentz,Grand Central Publishing,English,384,Mass Market Paperback,"['Romance', 'Paranormal Romance', 'Paranormal', 'Fantasy', 'Science Fiction', 'Fiction', 'Science Fiction Romance']","January 1, 1985",3.96,3347.0,121.0,308.0,1981.0,4.99,https://www.goodreads.com/book/show/1723927.Sweet_Starfire,0446365327
21,9780141014081,The Complete Maus,,,Art Spiegelman,Penguin Books,English,296,Paperback,"['Graphic Novels', 'Comics', 'Nonfiction', 'History', 'Biography', 'Memoir', 'Historical']","January 1, 1980",4.57,216758.0,13804.0,4854.0,148000.0,,https://www.goodreads.com/book/show/15195.The_Complete_Maus,0141014083
22,9780449212400,Hot Money,,,Dick Francis,Fawcett,English,432,Paperback,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Horses']","January 1, 1987",4.12,5862.0,280.0,214.0,906.0,4.99,https://www.goodreads.com/book/show/456906.Hot_Money,0449212408
23,9780380714001,Gallows View ,Inspector Banks,1,Peter Robinson,Avon,English,336,Mass Market Paperback,"['Mystery', 'Crime', 'Fiction', 'Audiobook', 'Thriller', 'Mystery Thriller', 'British Literature']","August 27, 1987",3.78,16720.0,1054.0,1449.0,8443.0,11.99,https://www.goodreads.com/book/show/102139.Gallows_View,0380714000
24,9780060298784,Something Under the Bed is Drooling ,Calvin and Hobbes,2,Bill Watterson,Greenwillow Books,English,288,Hardcover,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Middle Grade', 'Magic', 'Adventure']","January 1, 1980",3.93,12700.0,582.0,203.0,4418.0,6.99,https://www.goodreads.com/book/show/70490.Something_Under_the_Bed_is_Drooling,0060298782
25,9780385313315,"The Last Lion: Winston Spencer Churchill: Alone, 1932-40",,,William Manchester,Bantam,English,800,Paperback,"['Biography', 'History', 'Nonfiction', 'Politics', 'World War II', 'Biography Memoir', 'War']","October 28, 1988",4.37,11502.0,460.0,456.0,12000.0,16.99,https://www.goodreads.com/book/show/55751.The_Last_Lion,0385313314
26,9780385413725,From Beirut to Jerusalem,,,Thomas L. Friedman,Anchor,English,541,Paperback,"['History', 'Nonfiction', 'Politics', 'Israel', 'War', 'Travel', 'Jewish']","June 1, 1989",4.14,11939.0,937.0,1721.0,13400.0,0.0,https://www.goodreads.com/book/show/3559.From_Beirut_to_Jerusalem,0385413726
27,9780380731503,Wayside School Is Falling Down ,Wayside School,2,Louis Sachar,Avon Camelot,English,152,Paperback,"['Childrens', 'Fiction', 'Humor', 'Middle Grade', 'Young Adult', 'Fantasy', 'Juvenile']","January 1, 1989",4.16,60003.0,1240.0,773.0,9435.0,8.49,https://www.goodreads.com/book/show/10065.Wayside_School_Is_Falling_Down,0380731509
28,9780425205815,Rules of Prey ,Lucas Davenport,1,John Sandford,G.P. Putnam's Sons,English,479,Mass Market Paperback,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Detective']","July 24, 1989",4.11,86839.0,2865.0,4799.0,40100.0,9.99,https://www.goodreads.com/book/show/37301.Rules_of_Prey,0425205819
29,9780552154161,Jingo ,"Discworld, City Watch","21,4",Terry Pratchett,Corgi Books,English,461,Paperback,"['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Audiobook', 'War']","January 1, 1997",4.18,65716.0,2008.0,1533.0,19600.0,6.99,https://www.goodreads.com/book/show/47990.Jingo,0552154164
30,9780445408647,Curses! ,Gideon Oliver,5,Aaron Elkins,Mysterious Pr,English,254,Paperback,"['Mystery', 'Fiction', 'Anthropology', 'Cozy Mystery', 'Archaeology', 'Crime', 'Mystery Thriller']","January 1, 1989",4.02,1705.0,90.0,442.0,589.0,0.0,https://www.goodreads.com/book/show/591425.Curses_,0445408642
31,9780920236161,Morning Glory,,,LaVyrle Spencer,Annick Press,English,32,Paperback,"['Picture Books', 'Childrens', 'Fantasy', 'Fiction', 'Dragons', 'Fairy Tales', 'Classics']","May 1, 1980",4.31,51024.0,2324.0,234.0,14100.0,2.37,https://www.goodreads.com/book/show/6510802-morning-glory,0920236162
32,9780671720148,The Vor Game ,Vorkosigan Saga,6,Lois McMaster Bujold,Baen Books,English,346,Mass Market Paperback,"['Science Fiction', 'Space Opera', 'Fiction', 'Hugo Awards', 'Science Fiction Fantasy', 'Fantasy', 'Audiobook']","January 1, 1990",4.27,25164.0,1013.0,447.0,4064.0,6.99,https://www.goodreads.com/book/show/68483.The_Vor_Game,0671720147
33,9780449911945,Rabbit at Rest ,Rabbit Angstrom,4,John Updike,Random House Trade Paperbacks,English,608,Paperback,"['Fiction', 'Classics', 'Novels', 'Literature', 'American', 'Literary Fiction', 'Animals']","December 18, 1990",4.0,15545.0,587.0,176.0,11500.0,13.99,https://www.goodreads.com/book/show/11666.Rabbit_at_Rest,0449911942
34,9780345460691,Time Bomb ,Alex Delaware,5,Jonathan Kellerman,Ballantine Books,English,496,Paperback,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Audiobook']","January 1, 1990",3.99,16863.0,369.0,1388.0,4185.0,5.99,https://www.goodreads.com/book/show/185908.Time_Bomb,0345460693
35,,Needful Things,,,Stephen King,Hodder & Stoughton Ltd,English,790,Paperback,"['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Supernatural', 'Mystery', 'Paranormal']","October 1, 1991",3.97,249997.0,6192.0,5644.0,114000.0,11.99,https://www.goodreads.com/book/show/107291.Needful_Things,
36,9780425184226,The Sum of All Fears ,Jack Ryan,6,Tom Clancy,Berkley,,914,Mass Market Paperback,"['Fiction', 'Thriller', 'Espionage', 'Action', 'Military Fiction', 'Suspense', 'Adventure']","August 14, 1991",4.06,62255.0,938.0,1797.0,13500.0,9.99,https://www.goodreads.com/book/show/34993.The_Sum_of_All_Fears,0425184226
